match_id,match_seq_num,patch,region,start_time,duration,game_mode,skill,first_blood_time,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,dire_score,radiant_score,radiant_win
6562532581,5482749732,50,3.0,1652104608,2238,2,,133,63,3,1972,4,50,38,False
4181216458,3623315010,38,7.0,1540203698,3144,2,,120,0,59,0,1796,43,52,True
8249691373,6931921224,57,,1744318081,1746,2,,0,51,63,256,1982,6,30,True
5670718696,4766960355,46,15.0,1603577082,1227,2,,122,63,63,1956,2047,17,43,True
5215636705,4376633649,43,3.0,1580234566,2457,2,,196,63,55,1974,1796,44,18,False
3928509645,3408542290,35,18.0,1527932764,3499,2,,65,63,0,1920,0,42,31,False
7084723436,5949934793,51,3.0,1680196351,2395,2,,279,63,3,1956,1540,33,31,False
8082967772,6797583343,56,8.0,1734273820,1955,1,,60,63,0,2038,0,51,31,False
6633311469,5544679539,50,3.0,1656100501,2612,2,,111,51,63,900,1846,25,51,True
4379397358,3789733570,40,5.0,1548990168,1899,2,,46,12,63,1568,1983,9,31,True
5407001835,4532604703,45,13.0,1589088152,3166,2,,0,15,63,48,1830,0,0,True
5855792381,4924884819,47,3.0,1614276182,2345,2,,163,63,48,2038,256,46,31,False
7126142185,5986646204,52,3.0,1682508005,1467,1,,0,63,63,2046,1828,40,13,False
5509762293,4619783686,46,17.0,1594552434,1920,2,,321,59,63,1796,1983,6,45,True
8387054835,7044743364,58,3.0,1753352353,1786,2,,44,48,63,1536,1982,7,23,True
3244313856,2834535643,25,5.0,1497280075,2143,2,,0,63,12,1974,1536,41,14,False
8289537292,6964691035,57,8.0,1746980766,2803,2,,0,0,63,0,1846,35,39,True
3544730893,3083898917,26,5.0,1509890086,2427,2,,0,48,63,1792,1798,25,27,True
8367131906,7028216998,58,3.0,1752027868,2040,2,,330,49,63,384,1828,28,32,True
8246021391,6928946933,57,2.0,1744051366,1939,2,,178,63,0,2046,1024,29,18,False
7692897557,6475597656,54,3.0,1713526301,2582,2,,297,63,0,2038,0,53,16,False
8360316186,7022600067,58,3.0,1751585916,1771,2,,119,63,51,1972,1798,29,19,False
7746374920,6523169339,54,3.0,1716184215,1633,2,,295,51,63,390,1847,22,33,True
6241668369,5218945172,49,17.0,1635228345,1939,2,,72,63,63,1924,1974,13,28,True
8000130331,6729729219,56,3.0,1729664538,1621,2,,241,63,0,2036,0,34,20,False
7399296296,6228550946,53,3.0,1698250366,1802,2,,106,3,63,6,1982,19,62,True
8456785183,7103332609,58,8.0,1757602433,2740,2,,317,3,63,516,1828,40,49,True
4143992090,3591060031,38,2.0,1538251907,1943,2,,1,63,15,2044,1540,28,21,False
5964320027,4998143189,48,8.0,1619357537,1812,2,,119,48,63,1920,1983,22,46,True
7578602796,6381258720,54,3.0,1707523332,1912,2,,115,51,63,1988,1799,27,37,True
2875215155,2508079505,20,12.0,1482837104,2048,1,,0,63,0,1980,1536,30,22,False
7464308024,6280563350,53,3.0,1701270399,2459,2,,326,63,0,2046,0,38,22,False
3822603552,3320085371,31,12.0,1523186142,1649,2,,137,63,63,1572,1974,8,27,True
5478829363,4592396376,45,13.0,1592636149,1325,2,,12,51,63,772,1975,24,32,True
6693604641,5598736578,50,3.0,1659710617,3219,2,,0,0,63,0,1830,48,60,True
6316641592,5279120272,49,13.0,1639296044,2273,2,,157,0,63,0,1974,7,25,True
5065690439,4249686165,41,3.0,1570875069,1704,2,,183,63,63,1846,1798,32,10,False
5831675208,4909852813,47,8.0,1613158755,1391,2,,0,63,63,2046,1846,26,3,False
8326237500,6994613435,58,6.0,1749377117,942,2,,47,63,63,1828,2047,8,24,True
7374654717,6207643048,53,3.0,1696910741,2144,2,,229,63,63,1796,1847,13,30,True
5585259845,4688892839,46,17.0,1598416588,1454,2,,56,59,63,1924,1983,22,38,True
5437934920,4557513076,45,7.0,1590569846,2081,2,,0,51,63,1540,1846,29,43,True
5879909714,4940433070,47,5.0,1615442886,1464,2,,78,63,0,2047,0,39,12,False
6460820821,5399385452,50,2.0,1646445934,1685,2,,119,63,15,1974,1540,25,10,False
6517968212,5444606208,50,3.0,1649585487,1766,2,,75,63,63,2038,1828,40,15,False
6211784019,5194819739,49,3.0,1633540074,2345,2,,314,51,63,260,1572,18,34,True
7072664917,5939362808,51,3.0,1679504959,1690,2,,0,51,63,1542,1982,8,26,True
6250581337,5226149608,49,5.0,1635674828,2258,2,,91,63,48,2020,1536,33,20,False
7466929496,6282902581,53,5.0,1701431260,2088,2,,137,63,48,1974,1792,40,17,False
8210894171,6900431048,57,8.0,1741781865,2030,2,,203,63,51,1982,388,61,13,False
8133299543,6837791433,56,38.0,1737133374,1664,2,,0,63,63,1824,1983,8,25,True
5775052122,4862152452,47,3.0,1609957392,2220,2,,206,63,63,2036,1568,36,15,False
3907013988,3390412606,34,7.0,1526983485,2735,2,,163,60,63,1312,1831,30,39,True
6926912847,5808872605,51,2.0,1671484082,2258,2,,148,48,63,256,1590,15,38,True
6798986604,5692735374,51,5.0,1665387601,2350,2,,306,48,63,448,1855,19,25,True
5164780915,4333733965,42,5.0,1577010686,1955,2,,52,0,63,512,1852,9,45,True
7841795420,6599683187,55,6.0,1720797880,2315,2,,0,63,63,774,1972,14,25,True
7135579490,5995036318,52,3.0,1683025802,2662,2,,0,60,51,1072,4,38,20,False
3736096126,3245495301,28,3.0,1518728089,2314,2,,94,48,63,1792,1846,21,34,True
8221379972,6908818060,57,3.0,1742453411,1510,2,,95,63,63,1956,1975,10,34,True
5343563136,4481414584,44,13.0,1586412144,2140,2,,4,51,63,1924,1846,20,29,True
